id,start_dt,entry_signal_dt,entry_confirm_dt,exit_signal_dt,exit_confirm_dt,ts_start_ns,ts_end_ns,entry_signal_ts_ns,entry_confirm_ts_ns,exit_signal_ts_ns,exit_confirm_ts_ns,symbol,buy_ex,sell_ex,start_spread,max_spread,end_spread,start_diff,max_diff,end_diff,avg_start,avg_end,dur_above_ms,dur_total_ms,start_buy_ask,start_buy_ask_sz,start_buy_ask_usd,start_sell_bid,start_sell_bid_sz,start_sell_bid_usd,end_buy_ask,end_buy_ask_sz,end_buy_ask_usd,end_sell_bid,end_sell_bid_sz,end_sell_bid_usd,avg_spread
31,2026-05-22 15:15:22.590000+00:00,2026-05-22 15:15:22.590000+00:00,2026-05-22 15:15:22.590000+00:00,2026-05-22 15:15:22.598000+00:00,2026-05-22 15:15:22.598000+00:00,1779462922590000000,1779462922598000000,1779462922590000000,1779462922590000000,1779462922598000000,1779462922598000000,BEATUSDT,okx,binance,0.3073336159389586,0.6064474944143035,0.0105943426210392,0.3065929887481416,0.6057068672234863,0.009853715430222102,0.0007406271908170964,0.0007406271908170964,7,8,0.9436,53,50.0108,0.9465,2529,2393.6985,0.9439,21,19.8219,0.944,47,44.36799999999999,0.0007411148837529074
32,2026-05-22 15:15:22.601000+00:00,2026-05-22 15:15:22.601000+00:00,2026-05-22 15:15:22.601000+00:00,2026-05-22 15:15:22.627000+00:00,2026-05-22 15:15:22.627000+00:00,1779462922601000000,1779462922627000000,1779462922601000000,1779462922601000000,1779462922627000000,1779462922627000000,BEATUSDT,okx,binance,0.4468560485158094,0.4574954782423749,0,0.4461149253768706,0.4567543551034361,-0.0007411231389387377,0.0007411231389387377,0.0007411231389387377,15,26,0.9399,324,304.5276,0.9441,106,100.0746,0.9401,18,16.9218,0.9399,229,215.2371,0.0007480394569840334
33,2026-05-22 15:15:30.321000+00:00,2026-05-22 15:15:30.321000+00:00,2026-05-22 15:15:30.321000+00:00,2026-05-22 15:15:30.342000+00:00,2026-05-22 15:15:30.342000+00:00,1779462930321000000,1779462930342000000,1779462930321000000,1779462930321000000,1779462930342000000,1779462930342000000,BEATUSDT,binance,okx,0.4463336875664286,0.4463336875664286,0.0318640467339317,0.3159145738787119,0.3159145738787119,-0.09855506695378499,0.1304191136877167,0.1304191136877167,4,21,0.941,1375,1293.875,0.9452,5,4.726,0.9415,6,5.649,0.9418,8,7.5344,0.1304222149880261
34,2026-05-22 15:16:00.763000+00:00,2026-05-22 15:16:00.763000+00:00,2026-05-22 15:16:00.763000+00:00,2026-05-22 15:16:00.791000+00:00,2026-05-22 15:16:00.791000+00:00,1779462960763000000,1779462960791000000,1779462960763000000,1779462960763000000,1779462960791000000,1779462960791000000,BEATUSDT,binance,okx,0.5046167060339314,0.9820850420893587,0.04319654427645312,0.3755706385497102,0.8530389746051374,-0.08584952320776809,0.1290460674842212,0.1290460674842212,26,28,0.9314,934,869.9276,0.9361,10,9.361,0.926,14,12.964,0.9264,46,42.6144,0.1290516453082073
35,2026-05-22 15:16:00.937000+00:00,2026-05-22 15:16:00.937000+00:00,2026-05-22 15:16:00.937000+00:00,2026-05-22 15:16:01.534000+00:00,2026-05-22 15:16:01.534000+00:00,1779462960938000000,1779462961534000000,1779462960938000000,1779462960938000000,1779462961534000000,1779462961534000000,BEATUSDT,binance,okx,0.4560755782386775,1.092776745710852,0.1201791762263728,0.3270231686166954,0.9637243360888703,-0.008873233395609262,0.129052409621982,0.129052409621982,382,596,0.9209,96,88.4064,0.9251,1,0.9251,0.9153,362,331.3386,0.9164,2,1.8328,0.1291150910521594
36,2026-05-22 15:16:06.608000+00:00,2026-05-22 15:16:06.608000+00:00,2026-05-22 15:16:06.608000+00:00,2026-05-22 15:16:06.628000+00:00,2026-05-22 15:16:06.628000+00:00,1779462966608000000,1779462966628000000,1779462966608000000,1779462966608000000,1779462966628000000,1779462966628000000,BEATUSDT,binance,okx,0.4444926279271458,0.4444926279271458,0.1191378750135373,0.3155420563834655,0.3155420563834655,-0.00981269653014298,0.1289505715436803,0.1289505715436803,5,20,0.9224,86,79.3264,0.9265,57,52.8105,0.9233,105,96.9465,0.9244,42,38.8248,0.1289487980091123
37,2026-05-22 15:16:12.217000+00:00,2026-05-22 15:16:12.217000+00:00,2026-05-22 15:16:12.217000+00:00,2026-05-22 15:16:12.235000+00:00,2026-05-22 15:16:12.235000+00:00,1779462972217000000,1779462972235000000,1779462972217000000,1779462972217000000,1779462972235000000,1779462972235000000,GRASSUSDT,okx,binance,0.3652134215932413,0.3880392604428293,0,0.3556914228381853,0.3785172616877733,-0.009521998755055982,0.009521998755055982,0.009521998755055982,12,18,0.4381,342,149.8302,0.4397,12401.3,5452.85161,0.4395,45,19.7775,0.4395,588.4,258.6018,0.009521236600970387
38,2026-05-22 15:16:25.376000+00:00,2026-05-22 15:16:25.376000+00:00,2026-05-22 15:16:25.376000+00:00,2026-05-22 15:16:25.397000+00:00,2026-05-22 15:16:25.397000+00:00,1779462985377000000,1779462985397000000,1779462985377000000,1779462985377000000,1779462985397000000,1779462985397000000,HOMEUSDT,binance,okx,0.3654287413954248,0.3654287413954248,0,0.358448658642868,0.358448658642868,-0.006980082752556807,0.006980082752556807,0.006980082752556807,8,20,0.023534,1577,37.113118,0.02362,22,0.51964,0.023605,7324,172.88302,0.02359,615,14.50785,0.006983107828251207
39,2026-05-22 15:16:56.579000+00:00,2026-05-22 15:16:56.579000+00:00,2026-05-22 15:16:56.579000+00:00,2026-05-22 15:16:56.604000+00:00,2026-05-22 15:16:56.604000+00:00,1779463016579000000,1779463016604000000,1779463016579000000,1779463016579000000,1779463016604000000,1779463016604000000,EDENUSDT,okx,binance,0.3255042124074436,0.6190962471279031,0,0.3254686141243827,0.6190606488448422,-3.559828306087172e-05,3.559828306087172e-05,3.559828306087172e-05,19,25,0.15668,399,62.51532,0.15719,7721,1213.66399,0.1578,572,90.2616,0.15745,19571,3081.45395,4.159433573935731e-05
40,2026-05-22 15:16:56.624000+00:00,2026-05-22 15:16:56.624000+00:00,2026-05-22 15:16:56.624000+00:00,2026-05-22 15:16:56.647000+00:00,2026-05-22 15:16:56.647000+00:00,1779463016624000000,1779463016647000000,1779463016624000000,1779463016624000000,1779463016647000000,1779463016647000000,EDENUSDT,binance,okx,1.054169048072646,1.060586815699228,0.00631911532386098,0.8939210286256417,0.9003387962522243,-0.1539289041231429,0.1602480194470039,0.1602480194470039,19,23,0.15747,697,109.75659,0.15913,24873,3958.04049,0.15825,37,5.85525,0.15826,3,0.47478,0.1602532874714488
41,2026-05-22 15:16:58.470000+00:00,2026-05-22 15:16:58.470000+00:00,2026-05-22 15:16:58.470000+00:00,2026-05-22 15:16:58.492000+00:00,2026-05-22 15:16:58.492000+00:00,1779463018470000000,1779463018492000000,1779463018470000000,1779463018470000000,1779463018492000000,1779463018492000000,EDENUSDT,binance,okx,0.5056250790039155,0.5056250790039155,0.1135503406510305,0.3453440049988163,0.3453440049988163,-0.04673073335406872,0.1602810740050992,0.1602810740050992,0,22,0.15822,32,5.06304,0.15902,1,0.15902,0.15852,740,117.3048,0.1587,39,6.1893,0.1602821170648234
42,2026-05-22 15:17:20.260000+00:00,2026-05-22 15:17:20.260000+00:00,2026-05-22 15:17:20.260000+00:00,2026-05-22 15:17:20.277000+00:00,2026-05-22 15:17:20.277000+00:00,1779463040260000000,1779463040277000000,1779463040260000000,1779463040260000000,1779463040277000000,1779463040277000000,BEATUSDT,binance,okx,0.4457344252099067,0.4768816089570742,0.08269588587966838,0.3198285198733921,0.3509757036205595,-0.04321001945684631,0.1259059053365147,0.1259059053365147,6,17,0.9647,195,188.1165,0.969,146,141.474,0.9674,90,87.066,0.9682,52,50.3464,0.1259076240885858
